event_id,source_mail_id,mention,mail_subject,best_alias,score,evidence
EV000141,E000096,Logistics IT,FW: 재택근무 신청 절차 변경 안내,OMS 연계,0.3333,“변경된 신청 마감 시점과 승인 절차를 확인 부탁드립니다. 적용 시점은 다음 달 1일부터입니다.”
EV000142,E000097,Logistics IT,FW: 재택근무 신청 절차 변경 안내,OMS 연계,0.3333,"“다음 달부터는 주 단위 사전 신청제로 운영되며, 부서장 승인 후 확정됩니다.”"
EV000143,E000098,Logistics IT,RE: 재택근무 신청 절차 변경 안내,OMS 연계,0.3333,“변경된 신청 마감 시점과 승인 절차를 확인 부탁드립니다. 적용 시점은 다음 달 1일부터입니다.”
EV000144,E000099,Logistics IT,FW: 재택근무 신청 절차 변경 안내,OMS 연계,0.3333,"“다음 달부터는 주 단위 사전 신청제로 운영되며, 부서장 승인 후 확정됩니다.”"
EV000145,E000100,Logistics IT,FW: 재택근무 신청 절차 변경 안내,OMS 연계,0.3333,“변경된 신청 마감 시점과 승인 절차를 확인 부탁드립니다. 적용 시점은 다음 달 1일부터입니다.”
EV000147,E000102,Security Operations,RE: 연말정산 관련 서류 제출 요청,EDI 협력사 I/F,0.2667,“추가 서류를 기한 내 보완 제출해 주시기 바랍니다.”
EV000172,E000118,MeetingRoom,회의실 예약 시스템 변경 안내,OMS 연계,0.2353,회의실 예약 규칙이 일부 변경되어 안내드립니다. 노쇼 방지를 위해 예약 후 일정 시간 미사용 시 자동 취소되는 정책이 적용됩니다.
EV000173,E000119,MeetingRoom,FW: 회의실 예약 시스템 변경 안내,OMS 연계,0.2353,회의실 예약 시스템이 새 버전으로 교체됩니다. 초기 적응 기간 동안 헬프데스크에서 지원하겠습니다.
EV000176,E000122,MeetingRoom,회의실 예약 시스템 변경 안내,OMS 연계,0.2353,회의실 예약 규칙이 일부 변경되어 안내드립니다. 노쇼 방지를 위해 예약 후 일정 시간 미사용 시 자동 취소되는 정책이 적용됩니다.
EV000177,E000123,동호회,사내 동호회 활동 지원 안내,계정 연동,0.25,동호회 활동 정산 서류 제출 기한을 안내드립니다. 영수증과 활동 내역을 함께 제출해 주시기 바라며
EV000178,E000124,연말정산,연말정산 관련 서류 제출 요청,계정 연동,0.2222,해당되는 경우 추가 서류를 기한 내 보완 제출해 주시기 바랍니다.
EV000192,E000131,정보보호,전사 정보보호 교육 이수 안내,기준정보 정비,0.3636,현재 부서 평균 이수율이 목표치에 다소 못 미치는 상황이라 기한 내 수강을 부탁드립니다.
EV000212,E000147,Backup/DR,[백업복구] 사전 검토 및 의견 요청 배포 완료 공유,ERP 생산,0.2667,“백업 복구 테스트의 DR 전환 리허설 작업이 완료되어 결과를 공유드립니다.”
EV000234,E000168,Backup Recovery Test,FW: [백업] 복구 테스트 관련 문의 및 회신 요청 진행 현황 공유 및 운영 반영 전 최종 점검 사항 공유 및 관련 부서 회신 요청 드립니다,PI 혁신 포털,0.2143,"현재 약 60% 정도 진행되었으며, 남은 작업은 금주 내 완료를 목표로 하고 있습니다."
EV000235,E000168,Backup Recovery Test,FW: [백업] 복구 테스트 관련 문의 및 회신 요청 진행 현황 공유 및 운영 반영 전 최종 점검 사항 공유 및 관련 부서 회신 요청 드립니다,PI 혁신 포털,0.2143,회신 부탁드립니다.
EV000236,E000169,Network Maintenance,사내 네트워크 정기 점검 일정 공지,ERP 생산,0.24,방화벽 펌웨어 업데이트를 위해 주말 야간 시간대에 짧은 네트워크 중단이 발생할 예정입니다. 작업 시간은 약 20분 내외로 예상됩니다.
EV000237,E000170,Network Maintenance,RE: 사내 네트워크 정기 점검 일정 공지,ERP 생산,0.24,이번 주 토요일 02시부터 04시까지 사내 네트워크 정기 점검이 예정되어 있습니다. 해당 시간 동안 일부 사내 시스템 접속이 원활하지 않을 수 있으니 업무에 참고 바랍니다.
EV000238,E000171,Network Maintenance,RE: 사내 네트워크 정기 점검 일정 공지,ERP 생산,0.24,방화벽 펌웨어 업데이트를 위해 주말 야간 시간대에 짧은 네트워크 중단이 발생할 예정입니다. 작업 시간은 약 20분 내외로 예상됩니다.
EV000239,E000172,MES Quality Interface,[MES] 품질 I/F 담당자 및 일정 확인 테스트 일정 공유,MES 품질검사 연동,0.3125,다음 주 화요일까지 규격 마스터 동기화 1차 검토를 마무리할 예정입니다. … 회신 부탁드립니다.
EV000240,E000172,MES Quality Interface,[MES] 품질 I/F 담당자 및 일정 확인 테스트 일정 공유,MES 품질검사 연동,0.3125,다음 주 화요일까지 규격 마스터 동기화 1차 검토를 마무리할 예정입니다.
EV000241,E000173,SCM Demand Planning Dashboard,수요계획 대시보드 운영 반영 전 확인 적용 범위 확인,SCM 수요계획 화면,0.25,"논의 결과 1안으로 진행하기로 하였으며… 최종 확정은 Kim PM, Kim PM 협의로 마무리하였습니다."
EV000242,E000174,SSO Account Integration,FW: SSO 계정연동 우선순위 협의 필요 적용 범위 확인,SSO 계정 연동,0.3125,"논의 결과 1안으로 진행하기로 하였으며… 최종 확정은 Han PM, Choi Manager 협의로 마무리하였습니다."
EV000243,E000175,EDI Integration,FW: EDI 연계 적용 범위 및 일정 검토 요청,EDI 협력사 I/F,0.3846,EDI 협력사 인터페이스 관련 재전송 처리 검토를 요청드립니다… 의견을 이번 주 금요일까지 회신해 주시면 감사하겠습니다.
EV000247,E000178,Backup Recovery,[백업복구] 결과 정리 및 공유 진행 현황 공유,ERP 생산,0.1905,"""현재 약 60% 정도 진행되었으며, 남은 작업은 금주 내 완료를 목표로 하고 있습니다."""
EV000248,E000179,Office Supplies,사무용품 신청 마감 안내,SSO 연동,0.1905,"""이번 달 사무용품 신청 마감이 임박하여 안내드립니다."""
EV000249,E000180,Backup Recovery,백업 복구 테스트 적용 범위 및 일정 오류 조치 결과 보고,ERP 생산,0.1905,"""백업 복구 테스트에서 스냅샷 보관 주기 관련 이슈가 확인되어... 현재 원인 분석 중이며, 임시 조치로 영향도를 최소화하고 있습니다."""
EV000250,E000181,Privacy Policy,개인정보 처리방침 개정 안내,PI 혁신 포털,0.2727,"""개인정보 보호 관련 사내 교육 자료가 갱신되었습니다. 개정된 처리방침과 함께 확인 부탁드리며, 취급 부서는 내부 점검을 진행해 주시기 바랍니다."""
EV000252,E000183,Backup Recovery,RE: 백업 복구 테스트 우선순위 협의 필요 진행 현황 공유 건으로 일정 재조정 필요 사항 포함,ERP 생산,0.1905,"""현재 약 60% 정도 진행되었으며, 남은 작업은 금주 내 완료를 목표로 하고 있습니다."""
EV000315,E000219,회의실 예약 시스템,회의실 예약 시스템 변경 안내,백업 복구 테스트,0.3158,“회의실 예약 규칙이 일부 변경되어 안내드립니다. 노쇼 방지를 위해 예약 후 일정 시간 미사용 시 자동 취소되는 정책이 적용됩니다.”
EV000316,E000220,하계 휴가,하계 휴가 사용 권장 안내,계정 연동,0.4,“연차 사용 촉진 제도에 따라 잔여 연차가 많은 분들께 개별 안내드립니다. 하반기 사용 계획을 부서장과 협의하여 등록 부탁드립니다.”
EV000317,E000221,하계 휴가,RE: 하계 휴가 사용 권장 안내,계정 연동,0.4,"“하계 집중 휴가 사용 기간을 안내드립니다. 부서 업무에 지장이 없는 범위에서 연차 사용을 권장드리며, 팀별로 일정을 조율해 주시기 바랍니다.”"
EV000318,E000222,하계 휴가,RE: 하계 휴가 사용 권장 안내,계정 연동,0.4,“연차 사용 촉진 제도에 따라 잔여 연차가 많은 분들께 개별 안내드립니다. 하반기 사용 계획을 부서장과 협의하여 등록 부탁드립니다.”
EV000325,E000225,주차장 공사,주차장 공사 관련 이용 안내 변경,ERP 인사 모듈,0.2667,주차 관제 시스템 교체 작업으로 인해 이번 주말 동안 차량 출입 등록이 일시 중단됩니다.
EV000344,E000236,사내 네트워크,사내 네트워크 정기 점검 일정 공지,결재 워크플로 개선,0.3529,“방화벽 펌웨어 업데이트를 위해 주말 야간 시간대에 짧은 네트워크 중단이 발생할 예정입니다. 작업 시간은 약 20분 내외로 예상됩니다.”
EV000365,E000251,동호회,사내 동호회 활동 지원 안내,계정 연동,0.25,"""동호회 활동 정산 서류 제출 기한을 안내드립니다. 영수증과 활동 내역을 함께 제출해 주시기 바라며, 기한 후 제출 건은 다음 분기로 이월됩니다."""
EV000390,E000268,연차 사용,하계 휴가 사용 권장 안내,ERP 인사 모듈,0.2857,“하반기 사용 계획을 부서장과 협의하여 등록 부탁드립니다… 자세한 사항은 인사팀으로 문의 바랍니다.”
EV000391,E000269,건강검진,건강검진 예약 안내,백업복구 점검,0.1818,“예약 마감이 가까워지고 있으니 기한 내 예약 부탁드리며… 문의는 인사팀으로 주시기 바랍니다.”
EV000403,E000277,사무용품 신청,RE: 사무용품 신청 마감 안내,품질지표 QM,0.2857,“이번 달 사무용품 신청 마감이 임박하여 안내드립니다.”
EV000405,E000279,DR 전환 리허설,백업 복구 테스트 담당자 및 일정 확인 적용 범위 확인,DR 복구 테스트,0.4444,"“논의 결과 1안으로 진행하기로 하였으며… 최종 확정은 Jung PL, Bae Engineer 협의로 마무리하였습니다.”"
EV000407,E000281,사내 동호회,사내 동호회 활동 지원 안내,계정 연동,0.3636,“동호회 활동 정산 서류 제출 기한을 안내드립니다… 기한 후 제출 건은 다음 분기로 이월됩니다.”
EV000431,E000294,Logistics IT,WMS 출고 스캔 우선순위 협의 필요 오류 조치 결과 보고 검토 의견 취합 및 다음 단계 안내 검토 의견 취합 및 다음 단계 안내,OMS 연계,0.3333,"“현재 원인 분석 중이며, 임시 조치로 영향도를 최소화하고 있습니다.”"
EV000432,E000294,Logistics IT,WMS 출고 스캔 우선순위 협의 필요 오류 조치 결과 보고 검토 의견 취합 및 다음 단계 안내 검토 의견 취합 및 다음 단계 안내,OMS 연계,0.3333,“리스크로 식별된 항목은 영향도와 긴급도를 기준으로 우선순위를 부여하여 순차적으로 대응할 계획입니다.”
EV000439,E000297,연말정산,RE: 연말정산 관련 서류 제출 요청,계정 연동,0.2222,“추가 서류를 기한 내 보완 제출해 주시기 바랍니다.”
EV000450,E000306,Backup,FW: [백업] 복구 테스트 최종 확정 전 검토 적용 범위 확인 및 차주 배포 일정 협의 필요 건으로 일정 재조정 필요 사항 포함,ERP 생산,0.1667,"최종 확정은 Park Engineer, Bae Engineer 협의로 마무리하였습니다."
